rank,title,year,rating,rating_count,genre_text,country_text,cluster,cluster_profile
78,小鞋子,1997,9.2,470217,剧情 / 儿童 / 家庭,伊朗,2,欧美剧情经典片
79,蝴蝶效应,2004,8.9,1074766,剧情 / 悬疑 / 科幻 / 惊悚,美国 / 加拿大,1,悬疑惊悚与犯罪片
80,布达佩斯大饭店,2014,8.9,1091967,剧情 / 喜剧 / 冒险,美国 / 德国 / 英国,2,欧美剧情经典片
81,还有明天,2023,9.3,380089,剧情 / 喜剧 / 历史,意大利,2,欧美剧情经典片
82,飞越疯人院,1975,9.1,608634,剧情,美国,2,欧美剧情经典片
83,禁闭岛,2010,8.9,1121056,剧情 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
84,心灵捕手,1997,9.0,819911,剧情,美国,2,欧美剧情经典片
85,致命魔术,2006,8.9,969450,剧情 / 悬疑 / 惊悚,英国 / 美国,1,悬疑惊悚与犯罪片
86,低俗小说,1994,8.9,965923,剧情 / 喜剧 / 犯罪,美国,2,欧美剧情经典片
87,哈利·波特与密室,2002,8.9,923831,奇幻 / 冒险,英国 / 美国,0,动画奇幻与冒险片
88,一一,2000,9.1,518872,剧情 / 爱情 / 家庭,中国台湾 / 日本,2,欧美剧情经典片
89,超脱,2011,9.0,728592,剧情,美国,2,欧美剧情经典片
90,喜剧之王,1999,8.8,1102965,喜剧 / 剧情 / 爱情,中国香港,3,华语剧情高口碑片
91,杀人回忆,2003,8.9,844152,剧情 / 动作 / 犯罪 / 悬疑 / 惊悚,韩国,1,悬疑惊悚与犯罪片
92,致命ID,2003,8.9,957104,剧情 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
93,摩登时代,1936,9.3,349678,剧情 / 喜剧 / 爱情,美国,2,欧美剧情经典片
94,春光乍泄,1997,9.0,713493,剧情 / 爱情 / 同性,中国香港 / 日本 / 韩国,3,华语剧情高口碑片
95,加勒比海盗,2003,8.8,975610,动作 / 冒险 / 奇幻,美国,0,动画奇幻与冒险片
96,海豚湾,2009,9.3,383835,纪录片,美国,2,欧美剧情经典片
97,美国往事,1984,9.1,475395,犯罪 / 剧情,美国 / 意大利,2,欧美剧情经典片
98,红辣椒,2006,9.0,575802,动画 / 悬疑 / 科幻 / 惊悚,日本,1,悬疑惊悚与犯罪片
99,七宗罪,1995,8.8,1069806,剧情 / 犯罪 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
100,唐伯虎点秋香,1993,8.8,1232951,喜剧 / 爱情 / 古装,中国香港,3,华语剧情高口碑片
101,狩猎,2012,9.1,475208,剧情,丹麦 / 瑞典,2,欧美剧情经典片
102,幽灵公主,1997,8.9,675056,动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
103,寄生虫,2019,8.8,1557960,剧情,韩国,2,欧美剧情经典片
104,甜蜜蜜,1996,8.9,680000,剧情 / 爱情,中国香港,3,华语剧情高口碑片
105,天书奇谭,1983,9.2,339255,2021 / 中国大陆 / 动画 / 奇幻,(中国大陆),0,动画奇幻与冒险片
106,蝙蝠侠：黑暗骑士崛起,2012,8.9,820100,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,美国 / 英国,1,悬疑惊悚与犯罪片
107,超能陆战队,2014,8.8,1153823,喜剧 / 动作 / 科幻 / 动画 / 冒险,美国,0,动画奇幻与冒险片
108,茶馆,1982,9.5,213117,中国大陆 / 剧情 / 历史,(中国大陆),2,欧美剧情经典片
109,7号房的礼物,2013,8.9,626384,剧情 / 喜剧 / 家庭,韩国,2,欧美剧情经典片
110,第六感,1999,8.9,644302,剧情 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
111,爱在黎明破晓前,1995,8.8,809921,剧情 / 爱情,美国 / 奥地利 / 瑞士,2,欧美剧情经典片
112,爱在日落黄昏时,2004,8.9,661102,剧情 / 爱情,美国 / 法国,2,欧美剧情经典片
113,头脑特工队,2015,8.9,815225,喜剧 / 动画 / 冒险,美国,0,动画奇幻与冒险片
114,被嫌弃的松子的一生,2006,8.8,779568,剧情 / 歌舞,日本,2,欧美剧情经典片
115,哈利·波特与火焰杯,2005,8.8,809525,悬疑 / 奇幻 / 冒险,英国 / 美国,0,动画奇幻与冒险片
116,未麻的部屋,1997,9.1,430358,剧情 / 犯罪 / 动画 / 悬疑 / 惊悚,日本,1,悬疑惊悚与犯罪片
117,重庆森林,1994,8.8,929656,剧情 / 爱情,中国香港,3,华语剧情高口碑片
118,借东西的小人阿莉埃蒂,2010,8.9,632845,动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
119,菊次郎的夏天,1999,8.9,678783,剧情 / 喜剧,日本,2,欧美剧情经典片
120,入殓师,2008,8.9,746913,剧情,日本,2,欧美剧情经典片
121,剪刀手爱德华,1990,8.7,1126446,剧情 / 爱情 / 奇幻,美国,2,欧美剧情经典片
122,断背山,2005,8.8,788682,剧情 / 爱情 / 同性 / 家庭,美国 / 加拿大,2,欧美剧情经典片
123,勇敢的心,1995,8.9,608835,动作 / 传记 / 剧情 / 历史 / 战争,美国,2,欧美剧情经典片
124,时空恋旅人,2013,8.8,801313,喜剧 / 爱情 / 奇幻,英国 / 美国,0,动画奇幻与冒险片
125,驯龙高手,2010,8.8,873269,动画 / 奇幻 / 冒险,美国,0,动画奇幻与冒险片
126,傲慢与偏见,2005,8.7,948461,剧情 / 爱情,法国 / 英国 / 美国,2,欧美剧情经典片
127,无人知晓,2004,9.1,376231,剧情,日本,2,欧美剧情经典片
128,消失的爱人,2014,8.7,1081133,剧情 / 犯罪 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
129,倩女幽魂,1987,8.8,841601,爱情 / 奇幻 / 武侠 / 古装,中国香港,3,华语剧情高口碑片
130,新世界,2013,8.9,533855,剧情 / 犯罪,韩国,2,欧美剧情经典片
