rank,title,year,rating,rating_count,genre
117,重庆森林,1994,8.8,929656,爱情
118,借东西的小人阿莉埃蒂,2010,8.9,632845,动画
118,借东西的小人阿莉埃蒂,2010,8.9,632845,奇幻
118,借东西的小人阿莉埃蒂,2010,8.9,632845,冒险
119,菊次郎的夏天,1999,8.9,678783,剧情
119,菊次郎的夏天,1999,8.9,678783,喜剧
120,入殓师,2008,8.9,746913,剧情
121,剪刀手爱德华,1990,8.7,1126446,剧情
121,剪刀手爱德华,1990,8.7,1126446,爱情
121,剪刀手爱德华,1990,8.7,1126446,奇幻
122,断背山,2005,8.8,788682,剧情
122,断背山,2005,8.8,788682,爱情
122,断背山,2005,8.8,788682,同性
122,断背山,2005,8.8,788682,家庭
123,勇敢的心,1995,8.9,608835,动作
123,勇敢的心,1995,8.9,608835,传记
123,勇敢的心,1995,8.9,608835,剧情
123,勇敢的心,1995,8.9,608835,历史
123,勇敢的心,1995,8.9,608835,战争
124,时空恋旅人,2013,8.8,801313,喜剧
124,时空恋旅人,2013,8.8,801313,爱情
124,时空恋旅人,2013,8.8,801313,奇幻
125,驯龙高手,2010,8.8,873269,动画
125,驯龙高手,2010,8.8,873269,奇幻
125,驯龙高手,2010,8.8,873269,冒险
126,傲慢与偏见,2005,8.7,948461,剧情
126,傲慢与偏见,2005,8.7,948461,爱情
127,无人知晓,2004,9.1,376231,剧情
128,消失的爱人,2014,8.7,1081133,剧情
128,消失的爱人,2014,8.7,1081133,犯罪
128,消失的爱人,2014,8.7,1081133,悬疑
128,消失的爱人,2014,8.7,1081133,惊悚
129,倩女幽魂,1987,8.8,841601,爱情
129,倩女幽魂,1987,8.8,841601,奇幻
129,倩女幽魂,1987,8.8,841601,武侠
129,倩女幽魂,1987,8.8,841601,古装
130,新世界,2013,8.9,533855,剧情
130,新世界,2013,8.9,533855,犯罪
131,玩具总动员3,2010,8.9,601537,喜剧
131,玩具总动员3,2010,8.9,601537,动画
131,玩具总动员3,2010,8.9,601537,奇幻
131,玩具总动员3,2010,8.9,601537,冒险
132,花样年华,2000,8.8,813970,剧情
132,花样年华,2000,8.8,813970,爱情
133,一个叫欧维的男人决定去死,2015,8.9,575294,剧情
134,色，戒,2007,8.7,971342,剧情
134,色，戒,2007,8.7,971342,爱情
134,色，戒,2007,8.7,971342,情色
135,完美的世界,1993,9.1,363111,剧情
135,完美的世界,1993,9.1,363111,犯罪
136,怪兽电力公司,2001,8.8,776966,儿童
136,怪兽电力公司,2001,8.8,776966,喜剧
136,怪兽电力公司,2001,8.8,776966,动画
136,怪兽电力公司,2001,8.8,776966,奇幻
136,怪兽电力公司,2001,8.8,776966,冒险
137,教父3,1990,9.0,436930,剧情
137,教父3,1990,9.0,436930,犯罪
138,阳光灿烂的日子,1994,8.8,700985,剧情
138,阳光灿烂的日子,1994,8.8,700985,爱情
139,小森林 夏秋篇,2014,9.0,477293,剧情
140,天使爱美丽,2001,8.7,1025735,剧情
140,天使爱美丽,2001,8.7,1025735,喜剧
140,天使爱美丽,2001,8.7,1025735,爱情
141,侧耳倾听,1995,8.9,524651,剧情
141,侧耳倾听,1995,8.9,524651,爱情
141,侧耳倾听,1995,8.9,524651,动画
142,哪吒闹海,1979,9.2,311393,冒险
142,哪吒闹海,1979,9.2,311393,动画
142,哪吒闹海,1979,9.2,311393,奇幻
143,九品芝麻官,1994,8.8,802221,剧情
143,九品芝麻官,1994,8.8,802221,喜剧
143,九品芝麻官,1994,8.8,802221,古装
144,被解救的姜戈,2012,8.8,698840,剧情
144,被解救的姜戈,2012,8.8,698840,动作
144,被解救的姜戈,2012,8.8,698840,西部
144,被解救的姜戈,2012,8.8,698840,冒险
145,请以你的名字呼唤我,2017,8.8,831942,剧情
145,请以你的名字呼唤我,2017,8.8,831942,爱情
145,请以你的名字呼唤我,2017,8.8,831942,同性
146,幸福终点站,2004,8.8,647454,喜剧
146,幸福终点站,2004,8.8,647454,剧情
146,幸福终点站,2004,8.8,647454,爱情
147,釜山行,2016,8.6,1361025,动作
147,釜山行,2016,8.6,1361025,惊悚
147,釜山行,2016,8.6,1361025,灾难
148,神偷奶爸,2010,8.7,1054378,喜剧
148,神偷奶爸,2010,8.7,1054378,动画
148,神偷奶爸,2010,8.7,1054378,冒险
