rank,title,original_title,people_info,year,country_text,genre_text,rating,rating_count,quote,detail_url,source_url,fetched_at,decade
160,心灵奇旅,Soul,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers 主演: 杰米·...,2020,美国,动画 / 奇幻 / 音乐,8.7,1154040,,https://movie.douban.com/subject/24733428/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2020
161,背靠背，脸对脸,,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang 主演: 牛振华 Zhenhua N...,1994,中国大陆 / 中国香港,剧情,9.5,183184,,https://movie.douban.com/subject/1307856/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,1990
162,你的名字。,君の名は。,导演: 新海诚 Makoto Shinkai 主演: 神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 / 爱情 / 动画,8.5,1606273,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
163,血战钢锯岭,Hacksaw Ridge,导演: 梅尔·吉布森 Mel Gibson 主演: 安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 / 美国,剧情 / 传记 / 历史 / 战争,8.7,865376,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
164,射雕英雄传之东成西就,射鵰英雄傳之東成西就,导演: 刘镇伟 Jeffrey Lau 主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 / 奇幻 / 武侠 / 古装,8.7,723189,,https://movie.douban.com/subject/1316510/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,1990
165,我是山姆,I Am Sam,导演: 杰茜·尼尔森 Jessie Nelson 主演: Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 / 家庭,9.0,380062,,https://movie.douban.com/subject/1306861/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
166,末路狂花,Thelma & Louise,导演: 雷德利·斯科特 Ridley Scott 主演: 吉娜·戴维斯 Geena Davis / 苏...,1991,美国 / 英国 / 法国,犯罪 / 剧情 / 惊悚,9.0,356408,,https://movie.douban.com/subject/1291992/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,1990
167,阳光姐妹淘,써니,导演: 姜炯哲 Hyeong-Cheol Kang 主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 / 喜剧,8.8,643002,再多各自牛逼的时光，也比不上一起傻逼的岁月。,https://movie.douban.com/subject/4917726/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
168,恐怖直播,더 테러 라이브,导演: 金秉祐 Byeong-woo Kim 主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 / 犯罪 / 悬疑,8.7,733945,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
169,黑客帝国3：矩阵革命,The Matrix Revolutions,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski ...,2003,美国,动作 / 科幻,8.8,501481,,https://movie.douban.com/subject/1302467/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
170,高山下的花环,,导演: 谢晋 Jin Xie 主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984,(中国大陆),1985 / 中国大陆 / 剧情 / 战争,9.5,163747,,https://movie.douban.com/subject/1422283/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,1980
171,小丑,Joker,导演: 托德·菲利普斯 Todd Phillips 主演: 杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 / 加拿大,剧情 / 犯罪 / 惊悚,8.7,1132066,,https://movie.douban.com/subject/27119724/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
172,谍影重重3,The Bourne Ultimatum,导演: 保罗·格林格拉斯 Paul Greengrass 主演: 马特·达蒙 Matt Damon / ...,2007,美国 / 德国 / 法国 / 英国,动作 / 悬疑 / 惊悚,8.9,475411,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
173,三块广告牌,"Three Billboards Outside Ebbing, Missouri",导演: 马丁·麦克唐纳 Martin McDonagh 主演: 弗兰西斯·麦克多蒙德 France...,2017,英国 / 美国,剧情 / 犯罪,8.7,927180,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2010
174,无间道2,無間道II,导演: 刘伟强 Andrew Lau / 麦兆辉 Alan Mak 主演: 陈冠希 Edison Chen / ...,2003,中国香港,剧情 / 犯罪 / 惊悚,8.8,574213,,https://movie.douban.com/subject/1307106/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
175,电锯惊魂,Saw,导演: 詹姆斯·温 James Wan 主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 / 惊悚 / 恐怖,8.7,619307,真相就在眼前。,https://movie.douban.com/subject/1417598/,https://movie.douban.com/top250?start=150&filter=,2026-06-26T20:43:20+08:00,2000
176,达拉斯买家俱乐部,Dallas Buyers Club,导演: 让-马克·瓦雷 Jean-Marc Vallée 主演: 马修·麦康纳 Matthew McCon...,2013,美国,剧情 / 传记 / 同性,8.8,510532,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
177,疯狂原始人,The Croods,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders 主演...,2013,美国,喜剧 / 动画 / 冒险,8.7,928017,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
178,绿里奇迹,The Green Mile,导演: 弗兰克·德拉邦特 Frank Darabont 主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 / 剧情 / 奇幻 / 悬疑,8.9,392455,,https://movie.douban.com/subject/1300374/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1990
179,爱在午夜降临前,Before Midnight,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ...,2013,美国 / 希腊,剧情 / 爱情,8.8,480424,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
180,疯狂的石头,,导演: 宁浩 Hao Ning 主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 / 中国香港,喜剧 / 犯罪,8.6,934049,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
181,雨中曲,Singin' in the Rain,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly 主演: 吉恩·...,1952,美国,喜剧 / 歌舞 / 爱情,9.1,272270,,https://movie.douban.com/subject/1293460/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1950
182,2001太空漫游,2001: A Space Odyssey,导演: 斯坦利·库布里克 Stanley Kubrick 主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国 / 美国,科幻 / 惊悚 / 冒险,8.9,402047,,https://movie.douban.com/subject/1292226/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1960
183,海街日记,海街diary,导演: 是枝裕和 Hirokazu Koreeda 主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 / 家庭,8.8,527732,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
184,上帝之城,Cidade de Deus,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund &nbsp...,2002,巴西 / 法国,犯罪 / 剧情,9.0,336137,,https://movie.douban.com/subject/1292208/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
185,风之谷,風の谷のナウシカ,导演: 宫崎骏 Hayao Miyazaki 主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 / 奇幻 / 冒险,8.9,396563,,https://movie.douban.com/subject/1291585/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1980
186,心迷宫,,导演: 忻钰坤 Yukun Xin 主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 / 犯罪 / 悬疑,8.7,624719,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
187,英雄本色,,导演: 吴宇森 John Woo 主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 / 动作 / 犯罪,8.6,611569,,https://movie.douban.com/subject/1297574/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1980
188,记忆碎片,Memento,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 / 剧情 / 悬疑 / 惊悚,8.7,710175,,https://movie.douban.com/subject/1304447/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
189,纵横四海,縱橫四海,导演: 吴宇森 John Woo 主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 / 喜剧 / 动作 / 犯罪,8.8,492601,,https://movie.douban.com/subject/1295409/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1990
190,无敌破坏王,Wreck-It Ralph,导演: 瑞奇·莫尔 Rich Moore 主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 / 动画 / 奇幻 / 冒险,8.7,617324,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
191,卢旺达饭店,Hotel Rwanda,导演: 特瑞·乔治 Terry George 主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 / 南非 / 意大利 / 美国,剧情 / 传记 / 历史 / 战争,8.9,370310,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
192,恐怖游轮,Triangle,导演: 克里斯托弗·史密斯 Christopher Smith 主演: 梅利莎·乔治 Melissa ...,2009,英国 / 澳大利亚,科幻 / 悬疑 / 奇幻 / 惊悚,8.5,1002260,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
193,芙蓉镇,,导演: 谢晋 Jin Xie 主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 / 爱情,9.3,194402,,https://movie.douban.com/subject/1297880/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1980
194,东京教父,東京ゴッドファーザーズ,导演: 今敏 Satoshi Kon 主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 / 喜剧 / 动画,9.0,295405,,https://movie.douban.com/subject/1310177/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
195,牯岭街少年杀人事件,牯嶺街少年殺人事件,导演: 杨德昌 Edward Yang 主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 / 犯罪,8.9,375340,,https://movie.douban.com/subject/1292329/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1990
196,小偷家族,万引き家族,导演: 是枝裕和 Hirokazu Koreeda 主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 / 犯罪 / 家庭,8.7,901692,我们组成了家。,https://movie.douban.com/subject/27622447/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
197,魔女宅急便,魔女の宅急便,导演: 宫崎骏 Hayao Miyazaki 主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 / 奇幻 / 冒险,8.7,529960,,https://movie.douban.com/subject/1307811/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1980
198,冰川时代,Ice Age,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge 主演...,2002,美国,喜剧 / 动画 / 冒险,8.7,691085,,https://movie.douban.com/subject/1291578/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2000
199,忠犬八公物语,ハチ公物語,导演: 神山征二郎 Seijirô Kôyama 主演: 仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,9.2,220795,,https://movie.douban.com/subject/1959195/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,1980
200,岁月神偷,歲月神偷,导演: 罗启锐 Alex Law 主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 / 中国大陆,剧情 / 家庭,8.7,615765,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/,https://movie.douban.com/top250?start=175&filter=,2026-06-26T20:43:20+08:00,2010
